  group,name,province,publish_date,short_bio,title,url
admin leader,李树起,天津,"（人民网资料 截至2018年1月）
","

			　　李树起，男，汉族，1962年8月生，天津市人，1983年1月加入中国共产党，1980年11月参加工作，中央党校研究生学历，高级管理人员工商管理硕士。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4077.htm
admin leader,康义,天津,"（人民网资料 截至2018年1月）
","

			　　康义，男，汉族，1966年8月生，湖南双峰人，1986年7月加入中国共产党，1988年7月参加工作，大学学历，高级经济师。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage18675.htm
admin leader,金湘军,天津,"（人民网资料 截至2018年1月）
","

			　　金湘军，男，汉族，1964年7月生，湖南江华人，1984年11月加入中国共产党，1990年7月参加工作，研究生学历，管理学博士。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4564.htm
admin leader,董家禄,天津,"（人民网资料 截至2018年1月）
","

			　　董家禄，男，汉族，1966年9月生，云南师宗人，1989年12月加入中国共产党，1987年7月参加工作，中央党校研究生学历。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage18696.htm
admin leader,姚来英,天津,"（人民网资料 截至2018年5月）
","

			　　姚来英，男，汉族，1966年12月生，河北任丘人，1987年7月加入中国共产党，1989年7月参加工作，大学学历，经济学硕士。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16279.htm
district leader,陈绍旺,天津,"（人民网资料 截至2018年5月）
","

			　　陈绍旺，男，1971年2月生，天津市人，1992年8月加入中国共产党，1994年7月参加工作，全日制大学、在职研究生学历，经济学博士。",天津市和平区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15405.htm
district leader,李建成,天津,"（人民网资料 截至2017年4月）
","

			　　李建成，男，1967年6月生，汉族，天津市人，1993年7月入党，1988年7月参加工作，中央党校研究生文化，工商管理硕士。",天津市河东区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15451.htm
district leader,李学义,天津,"（人民网资料 截至2018年5月）
","

			　　李学义，男，1964年5月生，汉族，天津市人，1990年5月加入中国共产党，1981年11月参加工作，市委党校研究生文化。",天津市河西区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16381.htm
district leader,杨兵,天津,"（人民网资料  截至2018年5月）
","

			　　杨兵，男，1967年9月生，汉族，湖北天门人，1995年12月加入中国共产党，1989年7月参加工作，中国政法大学毕业，大学文化。",天津市南开区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage18826.htm
district leader,刘志强,天津,"（人民网资料 截至2017年5月）
","

			　　刘志强，男，汉族，1971年5月生，河北省人，1991年12月加入中国共产党，1992年7月参加工作，研究生学历。",天津市河北区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5018.htm
district leader,李清,天津,"（人民网资料  截至2018年5月）
","

			　　李清，男，汉族，1965年4月生，天津市人，1992年6月加入中国共产党，1986年7月参加工作，全日制大专、中央党校研究生学历。",天津市红桥区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage18827.htm
district leader,夏新,天津,"（人民网资料 截至2018年5月）
","

			　　夏新，男，1963年11月出生，研究生学历，河南新乡人，1983年8月参加工作，1986年11月加入中国共产党。",天津市东丽区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15576.htm
district leader,李清,天津,"（人民网资料 截至2016年12月）
","

			　　李清，女，汉族，1965年3月生，河北丰宁人，1990年3月加入中国共产党，1982年12月参加工作，市委党校研究生学历。",天津市西青区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16282.htm
district leader,刘惠,天津,"（人民网资料 截至2018年5月）
","

			　　刘惠，女，1968年10月出生，汉族，河北黄骅人，1995年12月加入中国共产党，1990年7月参加工作，市委党校研究生学历，文学学士学位。",天津市津南区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15596.htm
district leader,冯卫华,天津,"（人民网资料 截至2017年4月）
","

			　　冯卫华，男，汉族，1965年2月生，天津人，1985年4月加入中国共产党，1987年7月参加工作，南开大学中文系汉语言文学专业毕业，大学学历，学士学位。",天津市北辰区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16392.htm
district leader,徐大彤,天津,"（人民网资料 截至2018年5月）
","

			　　徐大彤，男，汉族，1970年2月生，天津市人，1991年3月加入中国共产党，1992年7月参加工作，全日制大学学历，经济学硕士。",天津市武清区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage18832.htm
